Clustering Type,type-1,type-2,type-3,type-4,recordTotal,Linkage Time
Single Linkage,99.184,0.28,0.504,0.032,100000,0.534703
Complete Linkage,99.22,0.256,0.492,0.032,100000,1.01408
Single Linkage,98.02,1.588,0.308,0.084,200000,1.0108
Complete Linkage,98.146,1.4735,0.3225,0.058,200000,3.28053
Single Linkage,94.6,5.10667,0.221333,0.072,300000,1.49414
Complete Linkage,95.4653,4.25433,0.227,0.0533333,300000,9.74262
Single Linkage,89.916,9.857,0.173,0.054,400000,2.03494
Complete Linkage,92.439,7.34475,0.17625,0.04,400000,26.6845
Single Linkage,86.6736,13.0896,0.156,0.0808,500000,2.51426
Complete Linkage,88.764,11.0102,0.152,0.0738,500000,29.9016
Single Linkage,69.8932,29.9252,0.0456,0.136,1000000,4.99107
Complete Linkage,78.4628,21.3735,0.0443,0.1194,1000000,91.8393
