Clustering Type,type-1,type-2,type-3,type-4,recordTotal,Linkage Time
Single Linkage,99.992,0.008,0,0,100000,0.51529
Complete Linkage,99.992,0.008,0,0,100000,0.913056
Single Linkage,99.988,0.012,0,0,200000,0.99709
Complete Linkage,99.988,0.012,0,0,200000,2.39455
Single Linkage,99.7933,0.206667,0,0,300000,1.51942
Complete Linkage,99.8027,0.197333,0,0,300000,4.70434
Single Linkage,98.994,1.006,0,0,400000,2.00253
Complete Linkage,99.11,0.89,0,0,400000,8.21016
Single Linkage,94.7192,5.2808,0,0,500000,2.49914
Complete Linkage,94.812,5.188,0,0,500000,10.6071
Single Linkage,93.994,6.006,0,0,600000,3.21352
Complete Linkage,94.0733,5.92667,0,0,600000,13.7767
Single Linkage,90.9348,9.0652,0,0,1000000,5.01478
Complete Linkage,91.7364,8.2636,0,0,1000000,29.5584
